Device,Cost,Impressions,Clicks
Computers,"₹69,030.75","167,622","5,021"
Mobile Phones,"₹68,135.64","1,011,264","28,100"
Tablets,₹420.15,"12,384",158
TV screens,₹106.15,727,1
