Optimisation score,Campaign Name
78.10%,Target All- All Products
80.90%,Oscilloscope
85.40%,UNI-T
85.50%,Hantek
85.60%,Fume extractors
85.70%,Power Supply all
86.20%,YIHUA
94.30%,Function Generator
96.70%,UNI-T Instruments
