Start Hour,Impressions
0,"32,756"
1,"16,459"
2,"10,172"
3,"6,599"
4,"5,717"
5,"8,297"
6,"21,669"
7,"34,157"
8,"47,171"
9,"70,878"
10,"116,143"
11,"94,585"
12,"87,589"
13,"74,055"
14,"74,696"
15,"65,659"
16,"62,300"
17,"57,705"
18,"53,037"
19,"52,829"
20,"54,604"
21,"54,799"
22,"49,695"
23,"42,702"
